palavra,casa,arquivo,raridade,posicao,cadeia,sentido,sentido_de
ODIAR,dificil,verb.emotion,conhecida,4133,odiar > antipatizar,ter ódio a,Wikcionário
ONDA,dificil,noun.event,conhecida,3047,onda > movimento > acontecimento > característica psicológica,elevação e depressão da camada superficial de uma massa líquida; vaga,Wikcionário
ORGULHAR,dificil,verb.emotion,rara,11588,orgulhar > experimentar,causar sentimento de orgulho a,Wikcionário
ORGULHO,dificil,noun.feeling,comum,1715,orgulho > emoção > condição > atributo,conceito exagerado que alguém faz de si próprio,Wikcionário
PESADELO,dificil,noun.state,conhecida,2450,pesadelo,sonho ruim,Wikcionário
POBREZA,dificil,noun.state,conhecida,6953,pobreza,penúria,Wikcionário
PRESSENTIMENTO,dificil,noun.feeling,conhecida,5563,pressentimento > consternação > abalo > emoção,ato ou efeito de pressentir,Wikcionário
PROBLEMA,dificil,noun.state,comum,204,problema > dificuldade > Estado > condição,situação difícil,Wikcionário
PROFECIA,dificil,noun.event,rara,8103,profecia > agouro > experiência > acontecimento,suposto dom sobrenatural que permite o conhecimento de acontecimentos futuros,Wikcionário
PÂNICO,dificil,noun.feeling,conhecida,2317,pânico > consternação > abalo > emoção,terror súbito,Wikcionário
RANCOR,dificil,noun.feeling,rara,8456,rancor > aversão > abalo > emoção,ódio profundo e reservado,Wikcionário
RELÂMPAGO,dificil,noun.phenomenon,rara,9857,relâmpago,clarão produzido pela descarga elétrica que ocorre entre nuvens de chuva ou entre uma destas nuvens e a terra,Wikcionário
REMORSO,dificil,noun.feeling,rara,9207,remorso > pesar > emoção > condição,inquietação da consciência por um ato que não se devia ter praticado,Wikcionário
REVOLUÇÃO,dificil,noun.event,conhecida,3131,revolução > alteração > acontecimento > característica psicológica,sublevação; retirada de um governo do poder pela força,Wikcionário
RUÍDO,dificil,noun.event,rara,7761,ruído > acontecimento > característica psicológica > abstração,,
SATISFAÇÃO,dificil,noun.feeling,rara,7234,satisfação > contentamento > alegria > emoção,ato ou efeito de satisfazer,Wikcionário
SAUDADE,dificil,noun.feeling,conhecida,5195,saudade > anseio > emoção > condição,desejo (ou necessidade) não realizado e prolongado,OpenWordnet-PT
SEPARAÇÃO,dificil,noun.state,conhecida,6239,separação > condição > atributo > abstração,ato ou efeito de separar,Wikcionário
SOLIDÃO,dificil,noun.state,conhecida,5650,solidão > incomunicação > separação > condição,"estado daquilo que está só, isolado",Wikcionário
SONO,dificil,noun.state,conhecida,2258,sono,"necessidade, vontade de dormir",Wikcionário
TEMER,dificil,verb.emotion,conhecida,5431,temer > preocupar-se,ter medo ou sentir-se ansioso ou apreensivo sobre uma possível ou provável situação ou evento,OpenWordnet-PT
TEMPESTADE,dificil,noun.phenomenon,conhecida,2010,tempestade > fenômeno atmosférico,"estado climático caracterizado por ventos fortes e, muitas vezes, acompanhado por chuva, granizo, relâmpagos e trovões",Wikcionário
TERREMOTO,dificil,noun.event,conhecida,6740,terremoto,,
TERROR,dificil,noun.feeling,conhecida,3836,terror > abalo > emoção > condição,uma emoção vivida em antecipação de alguma dor ou perigo específico (geralmente acompanhada por um desejo de fugir ou lutar),OpenWordnet-PT
TORMENTO,dificil,noun.feeling,rara,14797,tormento > dor > emoção > condição,"grande dor, sofrimento, preocupação",Wikcionário
TORNEIO,dificil,noun.event,conhecida,5325,torneio,ato ou efeito de tornear,Wikcionário
TRAGÉDIA,dificil,noun.event,conhecida,3837,tragédia > azar > problema > acontecimento,tipo de peça teatral difundida na Grécia antiga,Wikcionário
TREVAS,dificil,noun.state,conhecida,5433,trevas > iluminação > condição > atributo,escuridão,Wikcionário
TROVÃO,dificil,noun.event,rara,8621,trovão > ruído > acontecimento > característica psicológica,forte ruído provocado por descarga elétrica na atmosfera; trovoada,Wikcionário
TUMULTO,dificil,noun.state,rara,11237,tumulto,"confusão, agitação, barulhada",Wikcionário
